#Energy,TDOS-UP,TDOS-DOWN
3.49027,0.266,-0.7563
3.51327,0.2644,-0.7501
3.53727,0.2852,-0.681
3.56027,0.311,-0.6419
3.58327,0.3105,-0.6523
3.60727,0.2816,-0.6571
3.63027,0.2556,-0.637
3.65327,0.2611,-0.6289
3.67727,0.2901,-0.6421
3.70027,0.3148,-0.6395
3.72327,0.3345,-0.5979
3.74727,0.3583,-0.543
3.77027,0.3648,-0.5312
3.79327,0.3397,-0.5828
3.81727,0.3083,-0.6305
3.84027,0.2845,-0.5957
3.86327,0.2491,-0.4995
3.88727,0.1984,-0.4282
3.91027,0.1611,-0.4257
3.93327,0.1681,-0.4613
3.95727,0.2203,-0.4838
3.98027,0.28,-0.4936
4.00327,0.3017,-0.519
4.02727,0.273,-0.535
4.05027,0.2184,-0.5074
4.07327,0.1709,-0.477
4.09727,0.1502,-0.4866
4.12027,0.1613,-0.5046
4.14327,0.2021,-0.4799
4.16727,0.2647,-0.3996
4.19027,0.3223,-0.3058
4.21327,0.34,-0.2698
4.23727,0.3142,-0.3142
4.26027,0.2834,-0.3897
4.28327,0.2839,-0.4368
4.30727,0.3148,-0.4491
4.33027,0.3598,-0.4687
4.35327,0.4138,-0.5104
4.37727,0.4602,-0.5279
4.40027,0.461,-0.4795
4.42327,0.4154,-0.3863
4.44727,0.3894,-0.3086
4.47027,0.4505,-0.2904
4.49327,0.6076,-0.327
4.51727,0.8198,-0.3675
4.54027,1.024,-0.3569
4.56327,1.155,-0.2933
4.58727,1.173,-0.2267
4.61027,1.095,-0.2028
4.63327,0.9885,-0.2294
4.65727,0.9283,-0.279
4.68027,0.9374,-0.3155
4.70327,0.9766,-0.3326
4.72727,1.004,-0.3469
4.75027,1.037,-0.3531
4.77327,1.104,-0.3358
4.79727,1.178,-0.3226
4.82027,1.198,-0.3712
4.84327,1.137,-0.4906
4.86727,1.029,-0.6102
4.89027,0.9189,-0.6536
4.91327,0.8051,-0.6235
4.93727,0.6768,-0.5962
4.96027,0.5753,-0.6347
4.98327,0.539,-0.7197
5.00727,0.5402,-0.7795
5.03027,0.5281,-0.7744
5.05327,0.5091,-0.7324
5.07727,0.5378,-0.7176
5.10027,0.6237,-0.7743
5.12327,0.7023,-0.8934
5.14727,0.7161,-1.036
5.17027,0.6874,-1.168
5.19327,0.69,-1.262
5.21727,0.7619,-1.299
5.24027,0.873,-1.272
5.26327,0.9634,-1.224
5.28727,1.002,-1.243
5.31027,1.006,-1.356
5.33327,0.9779,-1.427
5.35727,0.8809,-1.299
5.38027,0.72,-1.003
5.40327,0.5735,-0.7413
5.42727,0.5175,-0.6454
5.45027,0.5476,-0.6676
5.47327,0.5887,-0.701
5.49727,0.5774,-0.7025
5.52027,0.519,-0.6797
5.54327,0.4702,-0.6307
5.56727,0.4761,-0.5497
5.59027,0.5393,-0.4635
5.61327,0.6474,-0.4398
5.63727,0.7656,-0.5296
5.66027,0.824,-0.683
5.68327,0.8098,-0.7987
5.70727,0.791,-0.8723
5.73027,0.7861,-0.9617
5.75327,0.7307,-1.031
5.77727,0.5976,-1.003
5.80027,0.4529,-0.8908
5.82327,0.3748,-0.7589
5.84727,0.3671,-0.6465
5.87027,0.3776,-0.5717
5.89327,0.3747,-0.52
5.91727,0.3738,-0.4599
5.94027,0.3908,-0.4033
5.96327,0.4103,-0.3964
5.98727,0.4166,-0.4477
6.01027,0.4215,-0.4968
6.03327,0.4501,-0.4869
6.05727,0.5277,-0.4414
6.08027,0.6654,-0.4138
6.10327,0.8108,-0.4125
6.12727,0.86,-0.3981
6.15027,0.7815,-0.3405
6.17327,0.6596,-0.2751
6.19727,0.5855,-0.267
6.22027,0.5796,-0.3318
6.24327,0.6087,-0.4395
6.26727,0.6357,-0.5661
6.29027,0.6524,-0.6848
6.31327,0.6704,-0.7405
6.33727,0.6924,-0.6957
6.36027,0.6927,-0.5791
6.38327,0.6389,-0.4524
6.40727,0.5521,-0.3525
6.43027,0.4877,-0.2866
6.45327,0.4422,-0.2631
6.47727,0.3799,-0.2945
6.50027,0.3335,-0.3732
6.52327,0.3611,-0.4648
6.54727,0.4459,-0.5262
6.57027,0.5045,-0.5356
6.59327,0.4726,-0.5099
6.61727,0.378,-0.4788
6.64027,0.3212,-0.4524
6.66327,0.373,-0.4383
6.68727,0.5069,-0.456
6.71027,0.6444,-0.5272
6.73327,0.7394,-0.6725
6.75727,0.773,-0.8613
6.78027,0.7283,-0.9777
6.80327,0.6322,-0.9577
6.82727,0.5568,-0.8963
6.85027,0.5433,-0.8957
6.87327,0.5656,-0.9382
6.89727,0.5724,-0.9742
6.92027,0.5413,-0.9815
6.94327,0.4914,-0.9267
6.96727,0.4421,-0.7869
6.99027,0.3846,-0.5946
7.01327,0.3192,-0.4154
7.03727,0.2748,-0.2981
7.06027,0.2665,-0.247
7.08327,0.2696,-0.2286
7.10727,0.2555,-0.2174
7.13027,0.2265,-0.2224
7.15327,0.2001,-0.2591
7.17727,0.1965,-0.3234
7.20027,0.2202,-0.3967
7.22327,0.2426,-0.4656
7.24727,0.2483,-0.5365
7.27027,0.266,-0.6168
7.29327,0.3047,-0.6887
7.31727,0.3228,-0.7286
7.34027,0.2936,-0.7405
7.36327,0.2441,-0.7501
7.38727,0.2066,-0.7699
7.41027,0.1789,-0.782
7.43327,0.1507,-0.7538
7.45727,0.1392,-0.6584
7.48027,0.1749,-0.5095
7.50327,0.2525,-0.3703
7.52727,0.3321,-0.2926
7.55027,0.3876,-0.283
7.57327,0.4143,-0.3197
